t=0ms START device=ios targets=192.0.2.1:44433/v4,[2001:db8::1]:44433/v6 minutes=4500 echoIntervalMs=250 qlog=/var/mobile/Containers/Data/Application/F584FE2E-5D14-4C36-BD66-C6D10AC83167/Documents/qlog
t=2ms PREVIOUS-RUN none
t=4ms TRACE-BUDGET mb=1182 plannedExchanges=1080000
t=16141418ms ECHO-LATE seq=61731 rtt=12427ms late=+12122ms deadline=305ms pending=12B
t=16141418ms ECHO-LATE seq=61732 rtt=11865ms late=+11560ms deadline=305ms pending=12B
t=16141418ms ECHO-LATE seq=61733 rtt=11302ms late=+10997ms deadline=305ms pending=12B
t=16141419ms ECHO-LATE seq=61734 rtt=10736ms late=+10431ms deadline=305ms pending=12B
t=16141419ms ECHO-LATE seq=61735 rtt=10167ms late=+9862ms deadline=305ms pending=12B
t=16141419ms ECHO-LATE seq=61736 rtt=9599ms late=+9294ms deadline=305ms pending=12B
t=16141420ms ECHO-LATE seq=61737 rtt=9034ms late=+8729ms deadline=305ms pending=12B
t=16141420ms ECHO-LATE seq=61738 rtt=8467ms late=+8162ms deadline=305ms pending=12B
t=16141420ms ECHO-LATE seq=61739 rtt=7902ms late=+7597ms deadline=305ms pending=12B
t=16141421ms ECHO-LATE seq=61740 rtt=7339ms late=+7034ms deadline=305ms pending=12B
t=16141421ms ECHO-LATE seq=61741 rtt=6777ms late=+6472ms deadline=305ms pending=12B
t=16141421ms ECHO-LATE seq=61742 rtt=6213ms late=+5908ms deadline=305ms pending=12B
t=16141422ms ECHO-LATE seq=61743 rtt=5644ms late=+5339ms deadline=305ms pending=12B
t=16141422ms ECHO-LATE seq=61744 rtt=5081ms late=+4776ms deadline=305ms pending=12B
t=16141422ms ECHO-LATE seq=61745 rtt=4517ms late=+4212ms deadline=305ms pending=12B
t=16141422ms ECHO-LATE seq=61746 rtt=3949ms late=+3644ms deadline=305ms pending=12B
t=16141423ms ECHO-LATE seq=61747 rtt=3384ms late=+3079ms deadline=305ms pending=12B
t=16141423ms ECHO-LATE seq=61748 rtt=2822ms late=+2517ms deadline=305ms pending=12B
t=16141423ms ECHO-LATE seq=61749 rtt=2258ms late=+1953ms deadline=305ms pending=12B
t=16141423ms ECHO-LATE seq=61750 rtt=1693ms late=+1388ms deadline=305ms pending=12B
t=16141424ms ECHO-LATE seq=61751 rtt=1134ms late=+829ms deadline=305ms pending=12B
t=16141424ms ECHO-LATE seq=61752 rtt=564ms late=+259ms deadline=305ms pending=12B
t=16141682ms ECHO-OK seq=61753 rtt=272ms pending=12B
t=16141937ms ECHO-OK seq=61754 rtt=257ms pending=12B
t=16142196ms ECHO-OK seq=61755 rtt=259ms pending=12B
t=16142451ms ECHO-OK seq=61756 rtt=257ms pending=12B
t=16142710ms ECHO-OK seq=61757 rtt=260ms pending=12B
t=16142967ms ECHO-OK seq=61758 rtt=258ms pending=12B
t=16143226ms ECHO-OK seq=61759 rtt=261ms pending=12B
t=16143485ms ECHO-OK seq=61760 rtt=260ms pending=12B
t=16143743ms ECHO-OK seq=61761 rtt=260ms pending=12B
t=16144001ms ECHO-OK seq=61762 rtt=259ms pending=12B
t=16144256ms ECHO-OK seq=61763 rtt=256ms pending=12B
t=16144511ms ECHO-OK seq=61764 rtt=257ms pending=12B
t=16144770ms ECHO-OK seq=61765 rtt=260ms pending=12B
t=16145027ms ECHO-OK seq=61766 rtt=258ms pending=12B
t=16145285ms ECHO-OK seq=61767 rtt=260ms pending=12B
t=16145540ms ECHO-OK seq=61768 rtt=256ms pending=12B
t=16145798ms ECHO-OK seq=61769 rtt=260ms pending=12B
t=16146052ms ECHO-OK seq=61770 rtt=255ms pending=12B
t=16146311ms ECHO-OK seq=61771 rtt=260ms pending=12B
t=16146572ms ECHO-OK seq=61772 rtt=263ms pending=12B
t=16146840ms ECHO-OK seq=61773 rtt=277ms pending=12B
t=16147096ms ECHO-OK seq=61774 rtt=267ms pending=12B
t=16147354ms ECHO-OK seq=61775 rtt=260ms pending=12B
t=16147607ms ECHO-OK seq=61776 rtt=255ms pending=12B
t=16147866ms ECHO-OK seq=61777 rtt=260ms pending=12B
t=16148120ms ECHO-OK seq=61778 rtt=256ms pending=12B
t=16148379ms ECHO-OK seq=61779 rtt=260ms pending=12B
t=16148637ms ECHO-OK seq=61780 rtt=260ms pending=12B
t=16148895ms ECHO-OK seq=61781 rtt=260ms pending=12B
t=16149154ms ECHO-OK seq=61782 rtt=260ms pending=12B
t=16149412ms ECHO-OK seq=61783 rtt=260ms pending=12B
t=16149667ms ECHO-OK seq=61784 rtt=256ms pending=12B
t=16149925ms ECHO-OK seq=61785 rtt=260ms pending=12B
t=16150184ms ECHO-OK seq=61786 rtt=261ms pending=12B
t=16150441ms ECHO-OK seq=61787 rtt=259ms pending=12B
t=16150696ms ECHO-OK seq=61788 rtt=257ms pending=12B
t=16150955ms ECHO-OK seq=61789 rtt=260ms pending=12B
t=16151212ms ECHO-OK seq=61790 rtt=259ms pending=12B
t=16151468ms ECHO-OK seq=61791 rtt=257ms pending=12B
t=16151726ms ECHO-OK seq=61792 rtt=260ms pending=12B
t=16151982ms ECHO-OK seq=61793 rtt=257ms pending=12B
t=16152241ms ECHO-OK seq=61794 rtt=259ms pending=12B
t=16152499ms ECHO-OK seq=61795 rtt=260ms pending=12B
t=16152753ms ECHO-OK seq=61796 rtt=255ms pending=12B
t=16153011ms ECHO-OK seq=61797 rtt=259ms pending=12B
t=16153268ms ECHO-OK seq=61798 rtt=258ms pending=12B
t=16153520ms KEEPALIVE-STATUS echoes=61800 locUpdates=1 migrations=1
t=16153522ms ECHO-OK seq=61799 rtt=255ms pending=12B
t=16153777ms ECHO-OK seq=61800 rtt=256ms pending=12B
t=16154034ms ECHO-OK seq=61801 rtt=258ms pending=12B
t=16154290ms ECHO-OK seq=61802 rtt=256ms pending=12B
t=16154547ms ECHO-OK seq=61803 rtt=258ms pending=12B
t=16154804ms ECHO-OK seq=61804 rtt=258ms pending=12B
t=16155061ms ECHO-OK seq=61805 rtt=258ms pending=12B
t=16155319ms ECHO-OK seq=61806 rtt=258ms pending=12B
t=16155576ms ECHO-OK seq=61807 rtt=258ms pending=12B
t=16155833ms ECHO-OK seq=61808 rtt=258ms pending=12B
t=16156091ms ECHO-OK seq=61809 rtt=259ms pending=12B
t=16156346ms ECHO-OK seq=61810 rtt=256ms pending=12B
t=16156603ms ECHO-OK seq=61811 rtt=258ms pending=12B
t=16156856ms ECHO-OK seq=61812 rtt=254ms pending=12B
t=16157113ms ECHO-OK seq=61813 rtt=258ms pending=12B
t=16157367ms ECHO-OK seq=61814 rtt=254ms pending=12B
t=28745372ms ECHO-LATE seq=109689 rtt=510ms late=+225ms deadline=285ms pending=13B
t=28745715ms ECHO-OVERDUE seq=109690 waited=539ms deadline=287ms
t=28746327ms ECHO-LATE seq=109690 rtt=1151ms late=+863ms deadline=287ms pending=13B
t=28746584ms ECHO-OK seq=109691 rtt=259ms pending=13B
t=28746842ms ECHO-OK seq=109692 rtt=260ms pending=13B
t=28747099ms ECHO-OK seq=109693 rtt=259ms pending=13B
t=28747354ms ECHO-OK seq=109694 rtt=258ms pending=13B
